Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732372909853,2024-11-23T14:41:49.853Z,16037,-0.027326984,-0.16951132,-0.37832054
1732372909859,2024-11-23T14:41:49.859Z,16043,-0.027326984,-0.16951132,-0.37832054
1732372909885,2024-11-23T14:41:49.885Z,16069,-0.009609223,-0.16455646,-0.3751358
1732372909893,2024-11-23T14:41:49.893Z,16077,-0.009609223,-0.16455646,-0.3751358
1732372909922,2024-11-23T14:41:49.922Z,16106,-0.023294013,-0.1726956,-0.39266574
1732372909928,2024-11-23T14:41:49.928Z,16112,-0.023294013,-0.1726956,-0.39266574
1732372909945,2024-11-23T14:41:49.945Z,16129,-0.021209514,-0.15490073,-0.3884718
1732372909950,2024-11-23T14:41:49.950Z,16134,-0.021209514,-0.15490073,-0.3884718
1732372909969,2024-11-23T14:41:49.969Z,16153,-0.0042043286,-0.13307591,-0.36263433
1732372909975,2024-11-23T14:41:49.975Z,16159,-0.0042043286,-0.13307591,-0.36263433
1732372910115,2024-11-23T14:41:50.115Z,16299,-0.0065196995,-0.11444218,-0.32861912
1732372910122,2024-11-23T14:41:50.122Z,16306,-0.0065196995,-0.11444218,-0.32861912
1732372910143,2024-11-23T14:41:50.143Z,16327,-0.011709786,-0.1169466,-0.34409684
1732372910148,2024-11-23T14:41:50.148Z,16332,-0.011709786,-0.1169466,-0.34409684
1732372910203,2024-11-23T14:41:50.203Z,16387,-0.028912043,-0.1240168,-0.3361945
1732372910207,2024-11-23T14:41:50.207Z,16391,-0.028912043,-0.1240168,-0.3361945
1732372910226,2024-11-23T14:41:50.226Z,16410,-0.0018948778,-0.10518682,-0.30982888
1732372910231,2024-11-23T14:41:50.231Z,16415,-0.0018948778,-0.10518682,-0.30982888
1732372910243,2024-11-23T14:41:50.243Z,16427,-0.016390039,-0.10068824,-0.30145693
1732372910248,2024-11-23T14:41:50.248Z,16432,-0.016390039,-0.10068824,-0.30145693
1732372910262,2024-11-23T14:41:50.262Z,16446,-0.015261187,-0.101202,-0.30046082
1732372910269,2024-11-23T14:41:50.269Z,16453,-0.015261187,-0.101202,-0.30046082
1732372910282,2024-11-23T14:41:50.282Z,16466,-0.03161704,-0.06867303,-0.18057072
1732372910287,2024-11-23T14:41:50.287Z,16471,-0.03161704,-0.06867303,-0.18057072
1732372910299,2024-11-23T14:41:50.299Z,16483,-0.028025351,-0.058823586,-0.1773694
1732372910304,2024-11-23T14:41:50.304Z,16488,-0.028025351,-0.058823586,-0.1773694
1732372910340,2024-11-23T14:41:50.340Z,16524,0.015978767,-0.014473864,-0.18092108
1732372910343,2024-11-23T14:41:50.343Z,16527,0.015978767,-0.014473864,-0.18092108
1732372910354,2024-11-23T14:41:50.354Z,16538,0.009023634,-0.029288484,-0.19314831
1732372910357,2024-11-23T14:41:50.357Z,16541,0.009023634,-0.029288484,-0.19314831
1732372910384,2024-11-23T14:41:50.384Z,16568,0.014159663,-0.021125121,-0.18382646
1732372910389,2024-11-23T14:41:50.389Z,16573,0.014159663,-0.021125121,-0.18382646
1732372910404,2024-11-23T14:41:50.404Z,16588,-0.00989904,-0.05778226,-0.16038024
1732372910409,2024-11-23T14:41:50.409Z,16593,-0.00989904,-0.05778226,-0.16038024
1732372910424,2024-11-23T14:41:50.424Z,16608,0.018168444,-0.04101617,-0.14012304
1732372910428,2024-11-23T14:41:50.428Z,16612,0.018168444,-0.04101617,-0.14012304
1732372910519,2024-11-23T14:41:50.519Z,16703,0.028931314,-0.021402374,-0.14889312
1732372910524,2024-11-23T14:41:50.524Z,16708,0.028931314,-0.021402374,-0.14889312
1732372910539,2024-11-23T14:41:50.539Z,16723,0.01504207,-0.057920933,-0.12427479
1732372910544,2024-11-23T14:41:50.544Z,16728,0.01504207,-0.057920933,-0.12427479
1732372910556,2024-11-23T14:41:50.556Z,16740,0.01565571,-0.05228893,-0.14104855
1732372910561,2024-11-23T14:41:50.561Z,16745,0.01565571,-0.05228893,-0.14104855
1732372910615,2024-11-23T14:41:50.615Z,16799,0.012056298,-0.061750937,-0.083958924
1732372910623,2024-11-23T14:41:50.623Z,16807,0.012056298,-0.061750937,-0.083958924
1732372910648,2024-11-23T14:41:50.648Z,16832,0.005218525,-0.05852776,-0.08512789
1732372910654,2024-11-23T14:41:50.654Z,16838,0.005218525,-0.05852776,-0.08512789
1732372910669,2024-11-23T14:41:50.669Z,16853,-0.013485693,-0.06067538,-0.094966404
1732372910674,2024-11-23T14:41:50.674Z,16858,-0.013485693,-0.06067538,-0.094966404
1732372910691,2024-11-23T14:41:50.691Z,16875,-0.017400442,-0.009376042,-0.08235599
1732372910701,2024-11-23T14:41:50.701Z,16885,-0.017400442,-0.009376042,-0.08235599
1732372910714,2024-11-23T14:41:50.714Z,16898,-0.028701345,-0.032186564,-0.09266312
1732372910718,2024-11-23T14:41:50.718Z,16902,-0.028701345,-0.032186564,-0.09266312
1732372910732,2024-11-23T14:41:50.732Z,16916,-0.028398078,-0.0359518,-0.081954
1732372910737,2024-11-23T14:41:50.737Z,16921,-0.028398078,-0.0359518,-0.081954
1732372910752,2024-11-23T14:41:50.752Z,16936,-0.0247824,-0.02073895,-0.03315352
1732372910756,2024-11-23T14:41:50.756Z,16940,-0.0247824,-0.02073895,-0.03315352
1732372910769,2024-11-23T14:41:50.769Z,16953,-0.04844331,0.008879786,-0.04771955
1732372910773,2024-11-23T14:41:50.773Z,16957,-0.04844331,0.008879786,-0.04771955
1732372910786,2024-11-23T14:41:50.786Z,16970,-0.024020296,-0.010624021,-0.06061466
1732372910791,2024-11-23T14:41:50.791Z,16975,-0.024020296,-0.010624021,-0.06061466
1732372910806,2024-11-23T14:41:50.806Z,16990,-0.036992416,-0.004229789,-0.062082503
1732372910810,2024-11-23T14:41:50.810Z,16994,-0.036992416,-0.004229789,-0.062082503
1732372910887,2024-11-23T14:41:50.887Z,17071,-0.023932595,0.028439024,-0.0685813
1732372910895,2024-11-23T14:41:50.895Z,17079,-0.023932595,0.028439024,-0.0685813
1732372910917,2024-11-23T14:41:50.917Z,17101,0.006298534,0.035865735,-0.053641196
1732372910922,2024-11-23T14:41:50.922Z,17106,0.006298534,0.035865735,-0.053641196
1732372910937,2024-11-23T14:41:50.937Z,17121,0.0152269555,0.03251409,-0.03016928
1732372910941,2024-11-23T14:41:50.941Z,17125,0.0152269555,0.03251409,-0.03016928
1732372910954,2024-11-23T14:41:50.954Z,17138,-0.028670516,0.0031101764,-0.023867093
1732372910958,2024-11-23T14:41:50.958Z,17142,-0.028670516,0.0031101764,-0.023867093
1732372910971,2024-11-23T14:41:50.971Z,17155,0.013063273,0.035300627,-0.025865486
1732372910975,2024-11-23T14:41:50.975Z,17159,0.013063273,0.035300627,-0.025865486
1732372910987,2024-11-23T14:41:50.987Z,17171,0.03305387,0.042140547,-0.011074534
1732372910991,2024-11-23T14:41:50.991Z,17175,0.03305387,0.042140547,-0.011074534
1732372911005,2024-11-23T14:41:51.005Z,17189,-0.004478698,0.07034054,-0.008008896
1732372911011,2024-11-23T14:41:51.011Z,17195,-0.004478698,0.07034054,-0.008008896
1732372911024,2024-11-23T14:41:51.024Z,17208,-0.024087163,0.07764695,-0.013347686
1732372911028,2024-11-23T14:41:51.028Z,17212,-0.024087163,0.07764695,-0.013347686
1732372911121,2024-11-23T14:41:51.121Z,17305,-0.0326683,0.092124216,-0.054260373
1732372911133,2024-11-23T14:41:51.133Z,17317,-0.0326683,0.092124216,-0.054260373
1732372911199,2024-11-23T14:41:51.199Z,17383,-0.0543846,0.06093425,-0.095572755
1732372911208,2024-11-23T14:41:51.208Z,17392,-0.0543846,0.06093425,-0.095572755
