Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732440664325,2024-11-24T09:31:04.325Z,25627,-0.26423344,-0.47407278,-0.9841213
1732440664331,2024-11-24T09:31:04.331Z,25633,-0.26423344,-0.47407278,-0.9841213
1732440664352,2024-11-24T09:31:04.352Z,25654,-0.24899141,-0.47774103,-0.9737366
1732440664359,2024-11-24T09:31:04.359Z,25661,-0.24899141,-0.47774103,-0.9737366
1732440664378,2024-11-24T09:31:04.378Z,25680,-0.24492078,-0.47857818,-0.9511744
1732440664383,2024-11-24T09:31:04.383Z,25685,-0.24492078,-0.47857818,-0.9511744
1732440664398,2024-11-24T09:31:04.398Z,25700,-0.23520476,-0.45398062,-0.96177894
1732440664404,2024-11-24T09:31:04.404Z,25706,-0.23520476,-0.45398062,-0.96177894
1732440664418,2024-11-24T09:31:04.418Z,25720,-0.20627451,-0.4332705,-0.9483819
1732440664421,2024-11-24T09:31:04.421Z,25723,-0.20627451,-0.4332705,-0.9483819
1732440664435,2024-11-24T09:31:04.435Z,25737,-0.19252563,-0.4136651,-0.9564145
1732440664439,2024-11-24T09:31:04.439Z,25741,-0.19252563,-0.4136651,-0.9564145
1732440664455,2024-11-24T09:31:04.455Z,25757,-0.19773962,-0.3868212,-0.93276244
1732440664459,2024-11-24T09:31:04.459Z,25761,-0.19773962,-0.3868212,-0.93276244
1732440664471,2024-11-24T09:31:04.471Z,25773,-0.19276495,-0.36527175,-0.91891426
1732440664475,2024-11-24T09:31:04.475Z,25777,-0.19276495,-0.36527175,-0.91891426
1732440664486,2024-11-24T09:31:04.486Z,25788,-0.18328829,-0.34219685,-0.91679955
1732440664491,2024-11-24T09:31:04.491Z,25793,-0.18328829,-0.34219685,-0.91679955
1732440664502,2024-11-24T09:31:04.502Z,25804,-0.1832304,-0.33336797,-0.888363
1732440664506,2024-11-24T09:31:04.506Z,25808,-0.1832304,-0.33336797,-0.888363
1732440664519,2024-11-24T09:31:04.519Z,25821,-0.16771835,-0.31387287,-0.88147897
1732440664522,2024-11-24T09:31:04.522Z,25824,-0.16771835,-0.31387287,-0.88147897
1732440664534,2024-11-24T09:31:04.534Z,25836,-0.1470732,-0.29618415,-0.84903246
1732440664537,2024-11-24T09:31:04.537Z,25839,-0.1470732,-0.29618415,-0.84903246
1732440664550,2024-11-24T09:31:04.550Z,25852,-0.16069417,-0.27851853,-0.83020955
1732440664554,2024-11-24T09:31:04.554Z,25856,-0.16069417,-0.27851853,-0.83020955
1732440664565,2024-11-24T09:31:04.565Z,25867,-0.12988478,-0.25306726,-0.8531783
1732440664570,2024-11-24T09:31:04.570Z,25872,-0.12988478,-0.25306726,-0.8531783
1732440664582,2024-11-24T09:31:04.582Z,25884,-0.13995512,-0.25311834,-0.83595407
1732440664585,2024-11-24T09:31:04.585Z,25887,-0.13995512,-0.25311834,-0.83595407
1732440664597,2024-11-24T09:31:04.597Z,25899,-0.13883805,-0.24379803,-0.8461045
1732440664600,2024-11-24T09:31:04.600Z,25902,-0.13883805,-0.24379803,-0.8461045
1732440664612,2024-11-24T09:31:04.612Z,25914,-0.11349387,-0.24212007,-0.829339
1732440664616,2024-11-24T09:31:04.616Z,25918,-0.11349387,-0.24212007,-0.829339
1732440664629,2024-11-24T09:31:04.629Z,25931,-0.13289659,-0.24486946,-0.7764485
1732440664633,2024-11-24T09:31:04.633Z,25935,-0.13289659,-0.24486946,-0.7764485
1732440664645,2024-11-24T09:31:04.645Z,25947,-0.15673222,-0.25550082,-0.8114653
1732440664648,2024-11-24T09:31:04.648Z,25950,-0.15673222,-0.25550082,-0.8114653
1732440664660,2024-11-24T09:31:04.660Z,25962,-0.15643734,-0.26586795,-0.8412101
1732440664663,2024-11-24T09:31:04.663Z,25965,-0.15643734,-0.26586795,-0.8412101
1732440664676,2024-11-24T09:31:04.676Z,25978,-0.104107544,-0.23425014,-0.7897212
1732440664679,2024-11-24T09:31:04.679Z,25981,-0.104107544,-0.23425014,-0.7897212
1732440664690,2024-11-24T09:31:04.690Z,25992,-0.10500244,-0.2259168,-0.7765338
1732440664695,2024-11-24T09:31:04.695Z,25997,-0.10500244,-0.2259168,-0.7765338
1732440664707,2024-11-24T09:31:04.707Z,26009,-0.10169546,-0.2204013,-0.7588692
1732440664712,2024-11-24T09:31:04.712Z,26014,-0.10169546,-0.2204013,-0.7588692
1732440664725,2024-11-24T09:31:04.725Z,26027,-0.12422953,-0.20409417,-0.69101185
1732440664730,2024-11-24T09:31:04.730Z,26032,-0.12422953,-0.20409417,-0.69101185
1732440664743,2024-11-24T09:31:04.743Z,26045,-0.116711624,-0.20311742,-0.6955048
1732440664746,2024-11-24T09:31:04.746Z,26048,-0.116711624,-0.20311742,-0.6955048
1732440664758,2024-11-24T09:31:04.758Z,26060,-0.12380018,-0.20443225,-0.7266964
1732440664762,2024-11-24T09:31:04.762Z,26064,-0.12380018,-0.20443225,-0.7266964
1732440664774,2024-11-24T09:31:04.774Z,26076,-0.118602484,-0.2091881,-0.75375295
1732440664778,2024-11-24T09:31:04.778Z,26080,-0.118602484,-0.2091881,-0.75375295
1732440664789,2024-11-24T09:31:04.789Z,26091,-0.07481848,-0.20261212,-0.7560723
1732440664793,2024-11-24T09:31:04.793Z,26095,-0.07481848,-0.20261212,-0.7560723
1732440664807,2024-11-24T09:31:04.807Z,26109,-0.08956991,-0.20114596,-0.72366875
1732440664812,2024-11-24T09:31:04.812Z,26114,-0.08956991,-0.20114596,-0.72366875
1732440664823,2024-11-24T09:31:04.823Z,26125,-0.07550809,-0.19616167,-0.709946
1732440664827,2024-11-24T09:31:04.827Z,26129,-0.07550809,-0.19616167,-0.709946
1732440664839,2024-11-24T09:31:04.839Z,26141,-0.09294776,-0.19311087,-0.7190163
1732440664843,2024-11-24T09:31:04.843Z,26145,-0.09294776,-0.19311087,-0.7190163
1732440664855,2024-11-24T09:31:04.855Z,26157,-0.11235901,-0.19895074,-0.7327793
1732440664858,2024-11-24T09:31:04.858Z,26160,-0.11235901,-0.19895074,-0.7327793
1732440664872,2024-11-24T09:31:04.872Z,26174,-0.107749835,-0.19475289,-0.727257
1732440664875,2024-11-24T09:31:04.875Z,26177,-0.107749835,-0.19475289,-0.727257
1732440664887,2024-11-24T09:31:04.887Z,26189,-0.105510175,-0.20440935,-0.69795996
1732440664891,2024-11-24T09:31:04.891Z,26193,-0.105510175,-0.20440935,-0.69795996
1732440664906,2024-11-24T09:31:04.906Z,26208,-0.08797845,-0.18567151,-0.7407904
1732440664910,2024-11-24T09:31:04.910Z,26212,-0.08797845,-0.18567151,-0.7407904
1732440664923,2024-11-24T09:31:04.923Z,26225,-0.103578664,-0.19279574,-0.721061
1732440664927,2024-11-24T09:31:04.927Z,26229,-0.103578664,-0.19279574,-0.721061
1732440664950,2024-11-24T09:31:04.950Z,26252,-0.08191323,-0.1733226,-0.72691
1732440664955,2024-11-24T09:31:04.955Z,26257,-0.08191323,-0.1733226,-0.72691
1732440664966,2024-11-24T09:31:04.966Z,26268,-0.048468746,-0.17020193,-0.69913465
1732440664970,2024-11-24T09:31:04.970Z,26272,-0.048468746,-0.17020193,-0.69913465
1732440664982,2024-11-24T09:31:04.982Z,26284,-0.08093954,-0.16061243,-0.6780032
1732440664987,2024-11-24T09:31:04.987Z,26289,-0.08093954,-0.16061243,-0.6780032
1732440664999,2024-11-24T09:31:04.999Z,26301,-0.052162506,-0.15754008,-0.71015745
1732440665003,2024-11-24T09:31:05.003Z,26305,-0.052162506,-0.15754008,-0.71015745
1732440665020,2024-11-24T09:31:05.020Z,26322,-0.060839094,-0.1360727,-0.6779382
1732440665028,2024-11-24T09:31:05.028Z,26330,-0.060839094,-0.1360727,-0.6779382
1732440665051,2024-11-24T09:31:05.051Z,26353,-0.051724285,-0.12463909,-0.6242872
1732440665057,2024-11-24T09:31:05.057Z,26359,-0.051724285,-0.12463909,-0.6242872
1732440665071,2024-11-24T09:31:05.071Z,26373,-0.054780588,-0.11314738,-0.60506755
1732440665079,2024-11-24T09:31:05.079Z,26381,-0.054780588,-0.11314738,-0.60506755
1732440665093,2024-11-24T09:31:05.093Z,26395,0.032256242,-0.12665907,-0.6986877
1732440665096,2024-11-24T09:31:05.096Z,26398,0.032256242,-0.12665907,-0.6986877
