Timestamp (ms),ISO DateTime,Elapsed Time (ms),Acceleration X,Acceleration Y,Acceleration Z
1732203105028,2024-11-21T15:31:45.028Z,66496,-0.45474455,-0.8107829,-1.112847
1732203105034,2024-11-21T15:31:45.034Z,66502,-0.45474455,-0.8107829,-1.112847
1732203105158,2024-11-21T15:31:45.158Z,66626,-0.49821895,-0.7988134,-1.109951
1732203105164,2024-11-21T15:31:45.164Z,66632,-0.49821895,-0.7988134,-1.109951
1732203105203,2024-11-21T15:31:45.203Z,66671,-0.49067622,-0.8251099,-1.127569
1732203105207,2024-11-21T15:31:45.207Z,66675,-0.49067622,-0.8251099,-1.127569
1732203105248,2024-11-21T15:31:45.248Z,66716,-0.4614516,-0.9259707,-1.0641125
1732203105252,2024-11-21T15:31:45.252Z,66720,-0.4614516,-0.9259707,-1.0641125
1732203105269,2024-11-21T15:31:45.269Z,66737,-0.5035435,-0.9024295,-1.0728161
1732203105275,2024-11-21T15:31:45.275Z,66743,-0.5035435,-0.9024295,-1.0728161
1732203105293,2024-11-21T15:31:45.293Z,66761,-0.48071,-0.90716577,-1.0893543
1732203105299,2024-11-21T15:31:45.299Z,66767,-0.48071,-0.90716577,-1.0893543
1732203105315,2024-11-21T15:31:45.315Z,66783,-0.50025207,-0.9002026,-1.087958
1732203105320,2024-11-21T15:31:45.320Z,66788,-0.50025207,-0.9002026,-1.087958
1732203105338,2024-11-21T15:31:45.338Z,66806,-0.48065975,-0.9106938,-1.1597644
1732203105342,2024-11-21T15:31:45.342Z,66810,-0.48065975,-0.9106938,-1.1597644
1732203105354,2024-11-21T15:31:45.354Z,66822,-0.47907054,-0.90408665,-1.1586655
1732203105357,2024-11-21T15:31:45.357Z,66825,-0.47907054,-0.90408665,-1.1586655
1732203105369,2024-11-21T15:31:45.369Z,66837,-0.46559468,-0.91373134,-1.1487796
1732203105372,2024-11-21T15:31:45.372Z,66840,-0.46559468,-0.91373134,-1.1487796
1732203105384,2024-11-21T15:31:45.384Z,66852,-0.51731795,-0.8591785,-1.0586656
1732203105388,2024-11-21T15:31:45.388Z,66856,-0.51731795,-0.8591785,-1.0586656
1732203105400,2024-11-21T15:31:45.400Z,66868,-0.49048325,-0.8728904,-1.0928216
1732203105404,2024-11-21T15:31:45.404Z,66872,-0.49048325,-0.8728904,-1.0928216
1732203105416,2024-11-21T15:31:45.416Z,66884,-0.46730673,-0.8895733,-1.1284231
1732203105420,2024-11-21T15:31:45.420Z,66888,-0.46730673,-0.8895733,-1.1284231
1732203105474,2024-11-21T15:31:45.474Z,66942,-0.4488542,-0.91284573,-1.1513305
1732203105477,2024-11-21T15:31:45.477Z,66945,-0.4488542,-0.91284573,-1.1513305
1732203105490,2024-11-21T15:31:45.490Z,66958,-0.51192504,-0.8778664,-1.1482213
1732203105494,2024-11-21T15:31:45.494Z,66962,-0.51192504,-0.8778664,-1.1482213
1732203105517,2024-11-21T15:31:45.517Z,66985,-0.4254302,-0.93218625,-1.1361747
1732203105521,2024-11-21T15:31:45.521Z,66989,-0.4254302,-0.93218625,-1.1361747
1732203105535,2024-11-21T15:31:45.535Z,67003,-0.46731406,-0.89872855,-1.1509718
1732203105538,2024-11-21T15:31:45.538Z,67006,-0.46731406,-0.89872855,-1.1509718
1732203105551,2024-11-21T15:31:45.551Z,67019,-0.45061174,-0.85224116,-1.1472794
1732203105556,2024-11-21T15:31:45.556Z,67024,-0.45061174,-0.85224116,-1.1472794
1732203105569,2024-11-21T15:31:45.569Z,67037,-0.40356144,-0.8211385,-1.1278023
1732203105572,2024-11-21T15:31:45.572Z,67040,-0.40356144,-0.8211385,-1.1278023
